Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Cádiz,Cádiz,18.4 (15:40),9.9 (07:50),14.1,18 (00:50),14 (06:40),0,0,0,0,0
Medina Sidonia,Cádiz,19.7 (16:40),5.6 (08:50),12.7,30 (02:40),22 (02:40),0,0,0,0,0
Vejer de la Frontera,Cádiz,19.1 (15:30),10.0 (07:40),14.6,40 (00:20),21 (00:20),0,0,0,0,0
Barbate,Cádiz,20.0 (13:50),9.0 (23:30),14.5,39 (00:10),30 (02:40),0,0,0,0,0
Tarifa,Cádiz,15.8 (13:40),8.2 (23:59),12,54 (00:50),33 (00:30),0,0,0,0,0
Jimena de la Frontera,Cádiz,19.7 (16:50),1.0 (08:20),10.4,14 (16:10),6 (17:30),0,0,0,0,0
San Roque,Cádiz,17.9 (14:50),5.5 (08:30),11.7,24 (00:50),15 (00:40),0,0,0,0,0
Castro Urdiales,Cantabria,10.4 (13:50),4.8 (04:10),7.6,15 (14:10),10 (15:20),0,0,0,0,0
Ramales de la Victoria,Cantabria,9.6 (14:30),-1.4 (07:00),4.1,9 (16:10),5 (16:40),0,0,0,0,0
"Barcena de Cicero, Treto",Cantabria,10.5 (15:50),2.6 (07:10),6.5,16 (07:40),10 (03:10),0,0,0,0,0
"Soba, Alto Miera",Cantabria,12.8 (13:00),1.6 (23:00),7.2,16 (00:20),11 (00:20),0,0,0,0,0
Santander Aeropuerto,Cantabria,11.3 (14:00),1.8 (04:00),6.6,18 (14:00),13 (13:00),0,0,0,0,0
Santander,Cantabria,10.7 (14:40),7.0 (04:00),8.8,27 (05:50),19 (06:10),0,0,0,0,0
Villacarriedo,Cantabria,10.6 (15:10),-2.0 (06:50),4.3,19 (16:10),10 (16:30),0,0,0,0,0
"Los Tojos, Bárcena Mayor",Cantabria,12.0 (13:50),-1.6 (08:40),5.2,22 (14:50),12 (14:40),0,0,0,0,0
San Felices de Buelna,Cantabria,12.0 (14:30),-1.0 (08:20),5.5,13 (15:50),8 (15:50),0,0,0,0,0
"Torrelavega, Sierrapando",Cantabria,,,,,,,,,,
San Vicente de la Barquera,Cantabria,9.7 (14:40),1.4 (08:40),5.5,30 (06:30),14 (05:50),0,0,0,0,0
"Camaleño, Fuente De",Cantabria,15.3 (14:30),2.1 (23:50),8.7,11 (14:40),6 (15:00),0,0,0,0,0
"Cillórigo de Liébana, Tama",Cantabria,11.6 (15:20),-4.0 (08:30),3.8,17 (14:40),12 (14:40),0,0,0,0,0
Tresviso,Cantabria,14.0 (15:10),4.6 (23:10),9.3,15 (08:10),12 (08:10),0,0,0,0,0
"Santillana del Mar, Altamira",Cantabria,9.1 (15:40),2.5 (02:40),5.8,17 (13:40),10 (02:50),0.2,0,0.2,0,0
Reinosa,Cantabria,13.9 (14:40),-3.6 (09:20),5.1,,,0,0,0,0,0
Alto Campoo,Cantabria,11.4 (12:40),2.0 (04:30),6.7,28 (15:40),14 (17:10),0,0,0,0,0
"Valderredible, Cubillo de Ebro",Cantabria,14.8 (15:20),-6.1 (09:00),4.4,22 (15:30),12 (15:30),0,0,0,0,0
"Valderredible, Polientes",Cantabria,14.7 (15:20),-5.6 (09:00),4.5,19 (15:10),10 (15:10),0,0,0,0,0
Segorbe,Castelló/Castellón,17.5 (13:30),2.6 (23:00),10,17 (00:10),13 (08:30),0,0,0,0,0
Montanejos,Castelló/Castellón,16.1 (14:40),0.9 (08:00),8.5,22 (16:00),13 (15:50),0,0,0,0,0
Villafranca del Cid/Vilafranca,Castelló/Castellón,13.1 (15:20),-0.9 (07:20),6.1,21 (11:30),17 (04:50),0,0,0,0,0
Atzeneta del Maestrat,Castelló/Castellón,18.0 (14:30),0.3 (08:20),9.2,15 (14:30),10 (15:00),0,0,0,0,0
Castellón - Almassora,Castelló/Castellón,16.1 (13:30),6.2 (07:10),11.2,19 (00:40),12 (00:40),0,0,0,0,0
Torreblanca,Castelló/Castellón,17.1 (13:40),7.5 (04:10),12.3,22 (00:50),16 (00:50),0,0,0,0,0
La Pobla de Benifassà-Fredes,Castelló/Castellón,10.4 (14:30),4.2 (22:10),7.3,45 (23:50),30 (23:40),0,0,0,0,0
Vinaròs,Castelló/Castellón,18.5 (13:00),3.4 (01:30),11,17 (04:30),12 (04:20),,,,,
Morella,Castelló/Castellón,10.8 (14:30),4.0 (22:20),7.4,25 (13:30),13 (14:30),0,0,0,0,0
Castellfort,Castelló/Castellón,9.7 (15:10),5.4 (08:10),7.5,,,0,0,0,0,0
Ceuta,Ceuta,17.3 (13:50),11.5 (23:59),14.4,24 (00:20),15 (00:40),0,0,0,0,0
Alcazar de San Juan,Ciudad Real,12.7 (16:10),-2.1 (09:10),5.3,12 (16:10),6 (15:20),0,0,0,0,0
Tomelloso,Ciudad Real,16.0 (16:20),-3.6 (08:50),6.2,14 (11:10),7 (21:20),0,0,0,0,0
Ciudad Real,Ciudad Real,16.6 (15:30),-2.2 (08:50),7.2,14 (16:40),8 (16:40),0,0,0,0,0
Villanueva de los Infantes,Ciudad Real,16.4 (15:00),6.7 (23:59),11.5,14 (17:20),8 (17:20),0,0,0,0,0
Valdepeñas,Ciudad Real,16.8 (16:10),-2.5 (08:30),7.1,13 (16:50),7 (16:30),0,0,0,0,0
Viso del Marqués,Ciudad Real,16.8 (16:10),1.9 (02:50),9.3,15 (14:30),9 (14:50),0,0,0,0,0
Abenójar,Ciudad Real,,,,,,,,,,
Puebla de Don Rodrigo,Ciudad Real,18.0 (16:50),-4.2 (08:30),6.9,,,,,,,
Almadén,Ciudad Real,19.0 (16:00),2.0 (08:30),10.5,12 (14:20),9 (14:10),0,0,0,0,0
Fuencaliente,Ciudad Real,19.6 (15:40),1.7 (08:30),10.7,17 (15:50),9 (16:20),0,0,0,0,0
Valsequillo,Córdoba,18.0 (15:20),-2.2 (08:00),7.9,10 (16:30),5 (15:50),0,0,0,0,0
Hinojosa del Duque,Córdoba,16.5 (14:40),0.1 (08:20),8.3,,,0,0,0,0,0
Cardeña,Córdoba,18.8 (15:00),7.2 (08:30),13,,,0,0,0,0,0
Montoro,Córdoba,19.4 (16:50),-2.0 (08:40),8.7,14 (12:40),7 (10:50),0,0,0,0,0
Villanueva de Córdoba,Córdoba,16.3 (14:40),7.8 (08:00),12,17 (15:20),9 (00:30),0,0,0,0,0
"Córdoba, Embalse de Guadanuño",Córdoba,18.5 (15:10),2.0 (06:30),10.3,12 (04:10),8 (08:50),0,0,0,0,0
Córdoba Aeropuerto,Córdoba,17.5 (16:30),0.5 (07:30),9,24 (11:50),17 (11:50),0,0,0,0,0
Priego de Córdoba,Córdoba,19.1 (13:20),1.1 (08:30),10.1,19 (15:40),14 (17:40),0,0,0,0,0
Doña Mencía,Córdoba,,,,,,,,,,
"Córdoba, Prágdena",Córdoba,18.1 (16:20),1.9 (08:10),10,21 (11:40),16 (11:40),0,0,0,0,0
Espiel,Córdoba,19.0 (17:10),-2.0 (08:20),8.5,6 (12:50),4 (12:50),0,0,0,0,0
Fuente Palmera,Córdoba,17.4 (16:10),2.5 (08:40),9.9,25 (08:00),14 (11:50),0,0,0,0,0
Benamejí,Córdoba,19.1 (15:50),3.6 (08:30),11.4,21 (00:30),18 (00:30),0,0,0,0,0
Aguilar de la Frontera,Córdoba,19.1 (15:40),4.0 (05:20),11.6,17 (04:40),14 (04:50),0,0,0,0,0
La Rambla,Córdoba,18.1 (16:30),2.3 (02:00),10.2,23 (10:10),12 (11:20),0,0,0,0,0
Beteta,Cuenca,,,,,,,,,,
Tarancón,Cuenca,17.3 (15:30),0.8 (08:30),9,12 (15:10),7 (16:40),0,0,0,0,0
Alcázar del Rey,Cuenca,15.2 (16:00),-3.2 (03:40),6,12 (16:10),8 (10:30),0,0,0,0,0
Abia de Obispalia,Cuenca,16.8 (14:00),-1.7 (08:20),7.5,14 (12:30),8 (17:50),0,0,0,0,0
Villares del Saz,Cuenca,13.0 (14:40),-3.5 (08:30),4.8,,,0,0,0,0,0
Alberca de Zancara,Cuenca,14.4 (15:40),-3.0 (07:30),5.7,20 (14:30),13 (14:20),0,0,0,0,0
San Clemente,Cuenca,13.9 (15:50),-3.3 (07:50),5.3,,,0,0,0,0,0
Osa de la Vega,Cuenca,12.7 (16:10),-3.5 (08:00),4.6,14 (15:20),9 (13:10),0,0,0,0,0
Belmonte,Cuenca,14.6 (14:50),-1.8 (08:40),6.4,16 (15:40),8 (15:10),0,0,0,0,0
Cuenca,Cuenca,16.9 (15:40),-3.1 (09:00),6.9,20 (15:50),10 (16:30),0,0,0,0,0
Motilla del Palancar,Cuenca,15.7 (16:10),-2.8 (04:40),6.4,24 (14:00),15 (13:40),0,0,0,0,0
Salvacañete,Cuenca,17.9 (16:00),-6.5 (09:00),5.7,26 (17:20),18 (17:50),0,0,0,0,0
Mira,Cuenca,18.7 (15:40),-7.4 (08:20),5.7,,,0,0,0,0,0
Irún,Gipuzkoa,5.6 (15:30),3.2 (05:20),4.4,11 (16:20),5 (16:20),0.2,0,0,0,0.2
San Sebastián Aeropuerto,Gipuzkoa,7.6 (15:20),5.3 (04:40),6.5,21 (17:50),13 (02:30),0,0,0,0,0
Renteria,Gipuzkoa,6.0 (15:20),0.1 (05:00),3.1,10 (19:50),5 (16:10),0.6,0,0,0,0.6
Segura - Lastala,Gipuzkoa,5.2 (17:00),-0.9 (07:30),2.1,6 (14:40),3 (15:00),0.2,0,0.2,0,0
Beasain,Gipuzkoa,4.9 (16:40),-0.5 (08:30),2.2,7 (11:30),4 (11:30),0,0,0,0,0
Ordizia,Gipuzkoa,5.0 (17:30),-0.4 (08:00),2.3,10 (23:00),6 (03:10),0,0,0,0,0
Legazpia,Gipuzkoa,6.1 (13:30),0.0 (10:00),3,,,0.2,0,0.2,0,0
Zumarraga,Gipuzkoa,3.7 (15:10),-1.3 (09:10),1.2,18 (23:50),8 (14:40),0.1,0,0.1,0,0
Azpeitia,Gipuzkoa,5.8 (20:10),1.1 (05:20),3.5,8 (20:40),4 (08:10),0.2,0,0,0,0.2
Zumaia,Gipuzkoa,8.4 (20:10),5.3 (05:10),6.8,20 (19:10),13 (19:20),0,0,0,0,0
Aretxabaleta,Gipuzkoa,5.5 (16:00),-0.9 (09:30),2.3,,,0.2,0,0,0,0.2
Elgeta,Gipuzkoa,4.7 (13:00),1.0 (09:10),2.8,13 (00:20),9 (00:20),0,0,0,0,0
Elgoibar,Gipuzkoa,5.9 (22:40),1.2 (06:50),3.6,16 (10:10),9 (10:20),0,0,0,0,0
Mutriku,Gipuzkoa,6.8 (15:10),4.6 (03:50),5.7,17 (20:30),8 (07:30),0,0,0,0,0
Blanes,Girona,16.4 (12:50),10.1 (23:50),13.3,20 (06:10),14 (23:20),0,0,0,0,0
"Castell, Platja d'Aro",Girona,14.4 (13:30),4.4 (06:20),9.4,18 (04:50),10 (04:50),0,0,0,0,0
Sant Pau de Segúries,Girona,13.8 (13:50),-3.4 (08:40),5.2,14 (14:40),6 (14:30),0,0,0,0,0
Planoles,Girona,14.7 (14:20),2.7 (08:50),8.7,14 (05:30),8 (15:00),0,0,0,0,0
Ripoll,Girona,13.6 (14:30),-2.8 (09:10),5.4,16 (14:40),9 (15:20),0,0,0,0,0
Les Planes d'Hostoles,Girona,15.1 (15:10),-2.2 (07:40),6.5,11 (14:20),5 (13:30),0,0,0,0,0
Sant Hilari,Girona,13.0 (13:20),1.5 (08:10),7.3,29 (20:10),18 (21:00),0,0,0,0,0
Girona Aeropuerto,Girona,16.1 (14:10),0.1 (08:10),8.1,21 (15:50),16 (16:00),0,0,0,0,0
Girona,Girona,16.6 (14:40),1.9 (08:40),9.3,14 (15:40),6 (16:40),0,0,0,0,0
Porqueres,Girona,15.2 (15:30),2.0 (08:40),8.6,12 (04:50),6 (01:40),0,0,0,0,0
L'Estartit,Girona,16.0 (00:00),6.4 (08:30),11.2,30 (13:50),15 (13:40),0,0,0,0,0
La Vall de Bianya,Girona,14.5 (13:30),-2.6 (08:20),6,19 (14:20),10 (14:40),0,0,0,0,0
Castelló d'Empúries,Girona,14.6 (15:20),3.5 (07:30),9.1,19 (13:40),12 (13:40),0,0,0,0,0
Maçanet de Cabrenys,Girona,14.7 (00:00),3.3 (23:59),9,14 (00:30),7 (12:00),0,0,0,0,0
Espolla,Girona,17.5 (00:30),5.9 (21:50),11.7,37 (00:20),21 (00:20),0,0,0,0,0
Figueres,Girona,16.3 (00:00),5.7 (08:40),11,28 (00:10),13 (00:10),0,0,0,0,0
La Molina,Girona,10.2 (15:30),1.3 (07:20),5.7,20 (20:40),11 (01:10),0,0,0,0,0
Baza,Granada,16.3 (16:30),-4.6 (07:40),5.8,20 (16:40),13 (19:10),0,0,0,0,0
Dólar,Granada,16.6 (14:30),3.4 (03:10),10,,,0,0,0,0,0
Víznar,Granada,,,,,,,,,,
Granada-Cartuja,Granada,20.0 (15:50),2.8 (08:30),11.4,7 (14:40),5 (21:10),0,0,0,0,0
Granada Aeropuerto,Granada,17.8 (16:30),-4.5 (08:40),6.6,,,0,0,0,0,0
Loja,Granada,17.9 (13:30),2.5 (06:50),10.2,27 (07:40),13 (00:10),0,0,0,0,0
Lanjarón,Granada,17.8 (15:20),3.6 (04:30),10.7,,,0,0,0,0,0
Salobreña,Granada,,,,,,0,0,0,0,0
Motril,Granada,22.1 (11:20),7.6 (07:10),14.9,15 (16:00),9 (15:20),,,,,
"Motril, Puerto",Granada,,,,13 (15:20),8 (15:20),0,0,0,0,0
Castell de Ferro,Granada,17.7 (15:50),10.2 (06:50),14,9 (02:30),6 (02:30),0,0,0,0,0
Válor,Granada,17.7 (12:30),6.0 (08:30),11.9,,,0,0,0,0,0
Molina de Aragón,Guadalajara,14.5 (16:10),-7.8 (08:30),3.3,12 (16:40),7 (15:20),0,0,0,0,0
Zaorejas,Guadalajara,12.4 (16:30),-2.0 (08:00),5.2,12 (14:50),6 (00:20),0,0,0,0,0
Pastrana,Guadalajara,14.7 (14:10),2.6 (07:00),8.6,,,0,0,0,0,0
Pantano el Vado,Guadalajara,14.9 (15:20),-1.3 (08:50),6.8,17 (15:10),8 (13:50),0,0,0,0,0
Mandayona,Guadalajara,16.4 (15:40),-1.8 (08:20),7.3,,,0,0,0,0,0
Campisábalos,Guadalajara,,,,,72 (08:40),0,0,0,0,0
Guadalajara,Guadalajara,14.6 (15:20),-1.6 (08:40),6.5,13 (15:50),8 (15:50),0,0,0,0,0
Brihuega,Guadalajara,16.4 (15:20),-2.5 (08:00),6.9,,,0,0,0,0,0
El Pedregal,Guadalajara,13.5 (14:10),0.3 (08:30),6.9,22 (07:30),17 (01:50),0,0,0,0,0
Aroche,Huelva,18.1 (17:00),-1.8 (05:00),8.2,12 (15:10),8 (15:10),0,0,0,0,0
El Granado,Huelva,17.1 (16:40),2.1 (09:00),9.6,,,0,0,0,0,0
Ayamonte,Huelva,18.3 (14:30),5.2 (06:00),11.7,14 (00:20),8 (08:50),0,0,0,0,0
Cartaya,Huelva,17.9 (15:30),3.8 (09:10),10.8,16 (12:50),10 (12:40),0,0,0,0,0
Alajar,Huelva,19.0 (15:10),8.2 (06:50),13.6,20 (01:50),12 (01:20),0,0,0,0,0
Valverde del Camino,Huelva,18.6 (15:30),2.9 (08:30),10.8,,,0,0,0,0,0
El Cerro de Andévalo,Huelva,18.8 (17:00),7.7 (07:30),13.2,,,0,0,0,0,0
"Alosno, Tharsis",Huelva,17.7 (16:40),7.2 (09:00),12.5,14 (23:59),11 (23:30),0,0,0,0,0
El Campillo,Huelva,19.2 (16:10),8.4 (06:30),13.8,17 (10:10),12 (07:40),0,0,0,0,0
Villarrasa,Huelva,20.4 (17:30),3.5 (03:20),11.9,15 (08:20),10 (08:20),0,0,0,0,0
"Huelva, Ronda Este",Huelva,19.5 (16:40),3.4 (08:10),11.5,16 (20:10),12 (20:10),0,0,0,0,0
Cala,Huelva,16.5 (14:30),2.7 (08:50),9.6,12 (15:00),5 (15:00),0,0,0,0,0
Almonte,Huelva,17.4 (17:20),3.0 (06:00),10.2,15 (13:50),9 (12:00),0,0,0,0,0
"Moguer, El Arenosillo",Huelva,18.5 (14:00),7.1 (08:10),12.8,23 (10:30),14 (09:10),0,0,0,0,0
Canfranc,Huesca,12.3 (14:30),4.4 (09:00),8.4,29 (00:20),14 (00:20),0,0,0,0,0
Jaca,Huesca,13.4 (14:40),-0.4 (08:50),6.5,22 (02:10),10 (22:00),0,0,0,0,0
"Valle de Hecho, Hecho",Huesca,14.6 (15:00),-2.5 (08:40),6.1,18 (00:10),9 (15:50),0,0,0,0,0
Aragüés del Puerto,Huesca,15.6 (15:30),2.9 (23:59),9.3,21 (05:30),14 (05:30),0,0,0,0,0
Bailo,Huesca,12.6 (16:00),0.3 (08:50),6.5,10 (20:20),8 (20:20),0,0,0,0,0
Biescas,Huesca,12.5 (14:10),-1.4 (07:20),5.6,6 (01:30),3 (01:30),0,0,0,0,0
Sabiñánigo,Huesca,14.1 (14:40),-5.1 (08:30),4.5,12 (15:50),8 (15:50),0,0,0,0,0
Almudévar,Huesca,4.4 (15:20),-2.2 (08:40),1.1,17 (17:30),12 (16:20),0.2,0,0.2,0,0
Sopeira,Huesca,14.3 (15:40),1.2 (09:30),7.8,57 (09:30),38 (10:20),0,0,0,0,0
Benabarre,Huesca,12.9 (13:20),0.9 (23:40),6.9,18 (01:50),14 (02:00),0,0,0,0,0
Bielsa,Huesca,12.1 (12:50),-1.1 (07:30),5.5,47 (00:30),22 (00:10),0,0,0,0,0
Ainsa,Huesca,11.9 (14:50),-1.1 (07:10),5.4,20 (16:50),17 (17:00),0,0,0,0,0
Torla - Depósito,Huesca,15.7 (14:20),3.0 (09:30),9.3,10 (11:40),5 (12:30),0,0,0,0,0
Benasque,Huesca,14.8 (14:50),-4.2 (08:50),5.3,26 (00:20),11 (00:10),0,0,0,0,0
Seira,Huesca,11.0 (15:30),-0.9 (09:10),5.1,11 (09:20),3 (02:30),0,0,0,0,0
Capella,Huesca,11.2 (15:10),-2.5 (08:50),4.3,13 (15:00),10 (15:00),0,0,0,0,0
Barbastro,Huesca,2.6 (15:50),-0.6 (08:10),1,9 (08:20),6 (08:30),0,0,0,0,0
"Sariñena, Depósito agua",Huesca,2.0 (16:40),-0.9 (09:40),0.6,9 (01:40),5 (05:50),0,0,0,0,0
Huesca Aeropuerto,Huesca,3.9 (13:50),-3.9 (08:20),0,12 (04:00),6 (03:00),0,0,0,0,0
Huesca,Huesca,2.7 (15:40),-2.4 (06:00),0.1,,,0,0,0,0,0
Lanaja,Huesca,1.5 (16:00),-3.4 (08:30),-1,11 (17:10),6 (17:10),0,0,0,0,0
Ballobar,Huesca,,,,,,,,,,
Tamarite de Litera,Huesca,2.9 (16:10),1.5 (08:00),2.2,10 (04:30),7 (20:00),0,0,0,0,0
Fraga,Huesca,3.1 (14:20),1.7 (09:10),2.4,10 (20:40),6 (20:50),0,0,0,0,0
"Escorca, Lluc",Illes Balears,16.3 (13:20),-0.7 (08:00),7.8,8 (13:30),2 (13:30),0,0,0,0,0
Banyalbufar,Illes Balears,16.8 (13:20),10.1 (23:10),13.4,25 (02:30),14 (02:30),0,0,0,0,0
Andratx,Illes Balears,17.3 (13:40),5.6 (00:10),11.4,13 (12:50),5 (12:50),0,0,0,0,0
"Calvià, Es Capdellà",Illes Balears,18.2 (15:00),3.6 (08:20),10.9,19 (14:30),13 (13:40),0,0,0,0,0
"Palma, Puerto",Illes Balears,17.7 (15:40),6.5 (07:40),12.1,20 (14:40),12 (14:20),0,0,0,0,0
"Palma, Universitat",Illes Balears,19.1 (15:20),0.7 (08:30),9.9,14 (23:20),8 (23:20),0,0,0,0,0
"Sierra de Alfabia, Bunyola",Illes Balears,13.1 (13:00),5.6 (02:10),9.4,44 (23:59),39 (23:59),0,0,0,0,0
"Palma de Mallorca, Aeropuerto",Illes Balears,17.2 (12:30),0.9 (08:20),9.1,28 (16:00),21 (16:10),0,0,0,0,0
"Llucmajor, Cap Blanc",Illes Balears,19.0 (11:10),10.9 (03:00),14.9,31 (01:00),18 (01:10),0,0,0,0,0
Llucmajor,Illes Balears,17.8 (14:10),5.3 (08:00),11.5,,,0,0,0,0,0
Porreres,Illes Balears,19.5 (12:50),3.1 (07:30),11.3,18 (16:00),11 (14:30),0,0,0,0,0
"Campos, Can Sion",Illes Balears,18.4 (13:30),0.2 (08:10),9.3,19 (16:20),13 (16:10),0,0,0,0,0
"Campos, Salines Llevant",Illes Balears,17.4 (15:00),0.5 (07:50),8.9,20 (16:40),14 (15:20),0,0,0,0,0
Santanyí,Illes Balears,17.9 (14:10),8.3 (06:00),13.1,21 (14:50),12 (14:50),0,0,0,0,0
Portocolom,Illes Balears,19.0 (14:40),6.9 (08:40),13,29 (23:30),15 (13:30),0,0,0,0,0
Son Servera,Illes Balears,20.7 (11:30),6.0 (00:00),13.4,16 (01:20),12 (01:20),0,0,0,0,0
Artà,Illes Balears,19.3 (13:50),4.6 (06:40),11.9,,,0,0,0,0,0
Capdepera,Illes Balears,18.9 (12:10),12.5 (22:30),15.7,30 (03:40),22 (03:40),0,0,0,0,0
Artà-Colònia de Sant Pere,Illes Balears,16.8 (13:00),9.9 (09:20),13.3,,,0,0,0,0,0
"Muro, S'Albufera",Illes Balears,18.0 (13:20),2.3 (07:00),10.1,,,0,0,0,0,0
Manacor,Illes Balears,18.9 (14:20),3.1 (07:50),11,23 (23:00),16 (22:50),0,0,0,0,0
Sineu,Illes Balears,18.6 (14:20),2.5 (08:10),10.6,14 (15:30),9 (15:30),0,0,0,0,0
Santa María del Camí,Illes Balears,18.2 (12:50),2.6 (08:10),10.4,19 (14:10),13 (16:10),0,0,0,0,0
Binissalem,Illes Balears,18.3 (14:10),1.6 (08:10),9.9,21 (15:50),15 (15:40),0,0,0,0,0
"Escorca, Son Torrella",Illes Balears,11.8 (14:10),-0.2 (08:10),5.8,,,0,0,0,0,0
Sa Pobla,Illes Balears,19.5 (14:30),2.2 (06:30),10.9,14 (16:40),10 (08:00),0,0,0,0,0
Pollença,Illes Balears,22.7 (12:30),3.4 (08:20),13.1,14 (00:20),5 (00:10),0,0,0,0,0
Port de Pollença,Illes Balears,20.2 (14:40),4.8 (08:30),12.5,19 (00:10),5 (16:20),0,0,0,0,0
"La Mola, Maó/Mahón",Illes Balears,15.6 (12:40),9.7 (22:20),12.7,,,0,0,0,0,0
Es Mercadal,Illes Balears,14.7 (13:10),9.1 (22:20),11.9,24 (05:10),15 (05:10),0,0,0,0,0
Ciutadella,Illes Balears,16.4 (13:10),7.0 (23:10),11.7,,,0,0,0,0,0
"Ciutadella, Cala Galdana",Illes Balears,16.2 (13:30),4.0 (23:50),10.1,21 (12:20),10 (12:00),0,0,0,0,0
"Menorca, Aeropuerto",Illes Balears,17.2 (13:30),7.2 (21:00),12.2,26 (12:10),,0,0,0,0,0
Sant Joan de Labritja,Illes Balears,18.7 (13:10),1.1 (06:30),9.9,,,0,0,0,0,0
