Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Villaeles de Valdavia,Palencia,16.0 (16:10),-2.1 (08:20),7,18 (03:50),11 (04:00),0,0,0,0,0
"Velilla del Río Carrión, Camporredondo de Alba",Palencia,14.4 (14:50),4.3 (23:30),9.3,14 (00:10),9 (17:50),0,0,0,0,0
Carrión de los Condes,Palencia,15.8 (16:10),-2.1 (08:30),6.9,30 (01:00),15 (01:10),0,0,0,0,0
Autilla del Pino,Palencia,12.1 (16:10),-0.6 (08:00),5.8,24 (01:40),21 (01:50),0,0,0,0,0
Palencia,Palencia,12.7 (16:00),-4.5 (09:00),4.1,15 (14:30),10 (14:30),0,0,0,0,0
"Santervás de la Vega, Villapún",Palencia,14.5 (15:50),-0.6 (07:20),6.9,23 (01:20),17 (03:40),0,0,0,0,0
Silleda,Pontevedra,15.8 (14:40),4.8 (23:40),10.3,23 (00:20),18 (00:20),0,0,0,0,0
A Estrada,Pontevedra,13.7 (15:30),0.5 (08:30),7.1,,,0,0,0,0,0
VilagarcÍa de Arousa,Pontevedra,15.4 (16:40),2.0 (09:20),8.7,8 (12:20),5 (12:30),0,0,0,0,0
Pontevedra,Pontevedra,14.8 (15:00),4.8 (09:30),9.8,24 (21:40),17 (21:40),0,0,0,0,0
A Lama,Pontevedra,16.7 (14:50),-0.5 (07:20),8.1,15 (13:50),8 (13:50),0,0,0,0,0
Vigo Aeropuerto,Pontevedra,15.3 (15:40),3.9 (08:10),9.6,26 (17:50),14 (07:50),0,0,0,0,0
Vigo,Pontevedra,15.7 (14:00),7.0 (09:10),11.3,13 (16:20),5 (15:00),0,0,0,0,0
A Cañiza,Pontevedra,17.0 (15:50),5.3 (07:50),11.2,,,0,0,0,0,0
"Ponteareas, Canedo",Pontevedra,14.9 (16:10),-1.6 (08:50),6.6,,,0,0,0,0,0
O Rosal,Pontevedra,14.4 (16:20),-0.1 (08:20),7.1,,,0,0,0,0,0
"La Covatilla, estación de esquí",Salamanca,11.2 (15:20),1.9 (08:00),6.5,22 (09:40),19 (09:20),0,0,0,0,0
Pedrosillo de Los Aires,Salamanca,12.3 (15:40),-5.9 (08:20),3.2,18 (17:10),13 (16:30),0,0,0,0,0
Pedraza de Alba,Salamanca,10.8 (15:20),-4.6 (07:50),3.1,9 (15:20),5 (12:10),0,0,0,0,0
Salamanca Aeropuerto,Salamanca,12.3 (14:50),-5.4 (08:00),3.5,,,0,0,0,0,0
Salamanca,Salamanca,13.7 (15:00),-2.1 (08:00),5.8,17 (15:50),8 (15:20),0,0,0,0,0
Barbadillo,Salamanca,12.1 (16:10),-4.3 (08:10),3.9,14 (15:20),11 (15:40),0,0,0,0,0
Ledesma,Salamanca,12.8 (15:50),-4.6 (08:20),4.1,23 (15:00),14 (14:40),0,0,0,0,0
Villarino de los Aires,Salamanca,15.9 (17:10),-0.9 (09:10),7.5,9 (10:20),6 (10:20),0,0,0,0,0
Boadilla Fuente San Esteban,Salamanca,12.2 (15:30),-3.6 (08:50),4.3,13 (16:10),10 (16:10),0,0,0,0,0
Vitigudino,Salamanca,14.8 (16:20),-1.0 (05:00),6.9,19 (14:40),13 (14:40),0,0,0,0,0
El Maíllo,Salamanca,12.2 (11:40),0.8 (23:10),6.5,25 (02:00),22 (02:00),0,0,0,0,0
Bañobárez,Salamanca,12.8 (16:20),-2.3 (06:10),5.3,13 (14:20),8 (17:20),0,0,0,0,0
Navasfrías,Salamanca,14.4 (15:30),-5.3 (07:40),4.5,15 (13:50),7 (13:40),0,0,0,0,0
El Bodón Base Aérea,Salamanca,10.9 (16:50),-3.5 (09:00),3.7,19 (02:40),15 (02:40),0,0,0,0,0
Saelices El Chico,Salamanca,13.7 (16:40),-4.4 (08:50),4.6,16 (18:20),11 (18:20),0,0,0,0,0
Fresno de Cantespino,Segovia,11.8 (15:40),-6.0 (09:00),2.9,26 (13:20),19 (13:00),0,0,0,0,0
Aldeanueva de Serrezuela,Segovia,10.1 (13:10),2.9 (23:59),6.5,19 (13:20),12 (12:40),0,0,0,0,0
"La Pinilla, estación de esquí",Segovia,10.3 (14:10),0.7 (23:30),5.5,19 (20:50),14 (20:40),0,0,0,0,0
Pedraza,Segovia,12.0 (15:10),-0.1 (08:20),5.9,15 (15:20),12 (00:10),0,0,0,0,0
Cuéllar,Segovia,13.8 (16:50),-8.2 (08:10),2.8,13 (13:40),7 (16:30),0,0,0,0,0
Segovia,Segovia,11.5 (15:20),0.8 (23:50),6.2,14 (14:40),11 (14:40),0,0,0,0,0
San Rafael,Segovia,12.1 (13:20),-2.4 (23:59),4.9,,,0,0,0,0,0
Miguelañez,Segovia,10.9 (16:30),-2.1 (08:10),4.4,18 (22:30),16 (22:30),0,0,0,0,0
La Roda de Andalucía,Sevilla,20.7 (15:30),2.4 (09:20),11.6,18 (12:00),12 (12:00),0,0,0,0,0
Lora de Estepa,Sevilla,18.5 (13:40),5.9 (23:00),12.2,,,0,0,0,0,0
Écija,Sevilla,19.5 (16:20),0.4 (08:10),10,15 (12:20),11 (17:50),0,0,0,0,0
La Puebla de los Infantes,Sevilla,18.9 (15:40),-2.5 (08:40),8.2,16 (14:10),11 (13:40),0,0,0,0,0
Fuentes de Andalucía,Sevilla,18.3 (16:00),3.9 (09:10),11.1,18 (11:30),14 (01:30),0,0,0,0,0
Carmona,Sevilla,17.7 (15:40),3.3 (08:30),10.5,29 (12:00),19 (12:00),0,0,0,0,0
Cazalla de la Sierra,Sevilla,19.6 (13:40),0.5 (08:30),10.1,12 (07:10),8 (05:40),0,0,0,0,0
Guadalcanal,Sevilla,,,,,,,,,,
Almadén de la Plata,Sevilla,18.2 (14:40),6.7 (06:50),12.5,13 (13:50),7 (13:30),0,0,0,0,0
Sevilla Aeropuerto,Sevilla,17.8 (17:10),3.1 (08:10),10.4,26 (11:10),18 (11:00),0,0,0,0,0
"Sevilla, Tablada",Sevilla,,,,,,,0,0,,
Morón de la Frontera,Sevilla,17.4 (17:10),2.1 (08:00),9.7,10 (22:10),8 (22:00),0,0,0,0,0
Carrión de los Céspedes,Sevilla,18.3 (16:30),1.0 (08:10),9.6,20 (14:30),13 (15:00),0,0,0,0,0
Las Cabezas de San Juan,Sevilla,18.3 (16:10),4.1 (08:40),11.2,9 (15:50),6 (11:50),0,0,0,0,0
Osuna,Sevilla,18.9 (16:40),9.0 (04:40),13.9,36 (00:50),22 (02:30),0,0,0,0,0
"Vinuesa, Quintanarejo",Soria,14.7 (14:20),0.0 (06:30),7.3,,,0,0,0,0,0
"La Póveda de Soria, Barriomartín",Soria,12.8 (13:30),4.1 (22:50),8.5,32 (02:20),20 (01:10),0,0,0,0,0
Soria,Soria,15.4 (15:00),0.2 (09:00),7.8,19 (14:40),12 (17:00),0,0,0,0,0
Lubia,Soria,13.9 (15:30),-1.6 (06:00),6.1,29 (22:10),18 (23:10),0,0,0,0,0
Morón de Almazán,Soria,12.9 (15:30),-7.5 (08:00),2.7,26 (14:40),19 (14:50),0,0,0,0,0
La Riba de Escalote,Soria,12.7 (14:50),-5.5 (08:40),3.6,19 (15:10),13 (14:50),0,0,0,0,0
Ucero,Soria,10.9 (15:20),-6.4 (09:00),2.2,,,0,0,0,0,0
Burgo de Osma,Soria,11.5 (15:20),-6.2 (08:50),2.7,23 (15:50),16 (15:40),0,0,0,0,0
Liceras,Soria,11.4 (13:50),0.6 (01:10),6,27 (13:10),21 (23:20),0,0,0,0,0
Ólvega,Soria,15.5 (11:30),-1.4 (23:40),7.1,17 (14:40),9 (15:00),0,0,0,0,0
San Pedro Manrique,Soria,13.6 (14:10),-1.5 (09:10),6.1,26 (03:20),17 (11:40),0,0,0,0,0
Arcos de Jalón,Soria,15.8 (16:10),1.0 (05:40),8.4,23 (02:00),15 (02:10),0,0,0,0,0
Almazul,Soria,13.6 (15:30),-1.2 (08:50),6.2,23 (04:20),20 (04:20),0,0,0,0,0
Puntagorda,Santa Cruz de Tenerife,20.4 (15:20),10.8 (02:00),15.6,42 (09:10),25 (09:40),0,0,0,0,0
Tijarafe,Santa Cruz de Tenerife,20.5 (15:50),12.8 (00:00),16.7,29 (07:30),11 (17:30),0,0,0,0,0
El Paso,Santa Cruz de Tenerife,20.4 (15:10),6.7 (00:20),13.5,30 (17:00),19 (17:00),0,0,0,0,0
Fuencaliente,Santa Cruz de Tenerife,23.9 (11:40),16.0 (05:40),19.9,40 (14:30),31 (14:30),0,0,0,0,0
Tazacorte,Santa Cruz de Tenerife,24.1 (12:10),15.7 (03:00),19.9,33 (15:30),16 (17:30),0,0,0,0,0
La Palma Aeropuerto,Santa Cruz de Tenerife,25.1 (13:50),15.5 (01:50),20.3,42 (13:20),30 (13:20),0,0,0,0,0
San Andrés y Sauces,Santa Cruz de Tenerife,21.9 (11:20),13.0 (06:10),17.4,42 (10:20),20 (23:00),0,0,0,0,0
"Vallehermoso, Alto Igualero",Santa Cruz de Tenerife,12.5 (15:00),7.2 (00:20),9.8,62 (09:00),50 (09:10),0,0,0,0,0
Arure,Santa Cruz de Tenerife,19.2 (14:10),11.8 (23:30),15.5,59 (09:30),39 (09:50),0,0,0,0,0
Agulo,Santa Cruz de Tenerife,20.7 (16:40),11.8 (03:00),16.3,58 (10:20),39 (10:20),0,0,0,0,0
"Vallehermoso, Dama",Santa Cruz de Tenerife,23.5 (12:40),14.5 (07:20),19,53 (13:00),28 (11:00),0,0,0,0,0
Hermigua,Santa Cruz de Tenerife,23.5 (15:20),10.2 (07:40),16.8,46 (11:40),18 (13:00),0,0,0,0,0
San Sebastián de la Gomera,Santa Cruz de Tenerife,21.6 (12:10),15.8 (01:20),18.7,32 (09:10),15 (09:20),0,0,0,0,0
"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,14.5 (15:20),-2.7 (08:10),5.9,26 (14:40),16 (13:50),0,0,0,0,0
Adeje,Santa Cruz de Tenerife,24.0 (15:40),15.6 (23:59),19.8,42 (10:50),15 (02:10),0,0,0,0,0
Arico,Santa Cruz de Tenerife,22.8 (14:40),14.6 (02:00),18.7,31 (06:50),21 (02:40),0,0,0,0,0
Tenerife Sur Aeropuerto,Santa Cruz de Tenerife,23.3 (13:10),15.1 (07:00),19.2,32 (21:00),22 (23:20),0,0,0,0,0
Izaña,Santa Cruz de Tenerife,10.8 (12:40),0.3 (07:00),5.6,50 (06:00),41 (06:50),0,0,0,0,0
Candelaria,Santa Cruz de Tenerife,20.6 (15:30),12.7 (03:40),16.7,23 (01:40),17 (00:10),0,0,0,0,0
Güímar,Santa Cruz de Tenerife,22.6 (17:00),10.5 (05:50),16.6,,,0,0,0,0,0
"San Cristóbal de La Laguna,Llano de los Loros",Santa Cruz de Tenerife,18.6 (12:00),9.5 (02:30),14.1,49 (13:00),33 (23:00),0,0,0,0,0
Tenerife Norte Aeropuerto,Santa Cruz de Tenerife,19.5 (15:40),10.4 (08:00),14.9,41 (10:20),27 (11:00),,,,,
Sta.Cruz de Tenerife,Santa Cruz de Tenerife,24.2 (15:20),15.0 (07:00),19.6,31 (13:00),15 (08:00),0,0,0,0,0
Anaga,Santa Cruz de Tenerife,23.6 (15:20),13.1 (04:00),18.4,28 (11:50),14 (11:10),0,0,0,0,0
La Victoria de Acentejo,Santa Cruz de Tenerife,21.9 (12:50),9.9 (04:50),15.9,31 (23:50),18 (20:40),0,0,0,0,0
Tacoronte,Santa Cruz de Tenerife,23.2 (14:10),12.4 (06:20),17.8,44 (23:50),26 (23:30),0,0,0,0,0
Puerto de la Cruz,Santa Cruz de Tenerife,23.7 (16:20),15.2 (05:10),19.5,23 (06:40),12 (04:40),0,0,0,0,0
Los Silos,Santa Cruz de Tenerife,25.0 (15:20),12.0 (08:00),18.5,18 (03:00),14 (03:40),0,0,0,0,0
"El Pinar, Depósito",Santa Cruz de Tenerife,16.8 (12:20),6.2 (00:00),11.5,30 (11:40),13 (10:10),0,0,0,0,0
Valverde,Santa Cruz de Tenerife,16.0 (16:10),8.7 (00:10),12.3,41 (11:40),27 (23:50),0,0,0,0,0
Hierro Aeropuerto,Santa Cruz de Tenerife,23.6 (13:50),16.5 (06:30),20.1,41 (16:10),32 (12:50),0,0,0,0,0
"Frontera, Sabinosa",Santa Cruz de Tenerife,,,,,,,,,,
Vandellòs,Tarragona,16.4 (13:40),7.7 (23:00),12,31 (04:20),8 (14:00),0,0,0,0,0
Alforja,Tarragona,13.2 (11:10),7.1 (20:10),10.1,41 (23:50),28 (12:20),0,0,0,0,0
Reus Aeropuerto,Tarragona,18.0 (14:10),0.8 (08:10),9.4,28 (15:30),20 (14:40),0,0,0,0,0
Valls,Tarragona,17.1 (14:20),2.5 (07:20),9.8,,,0,0,0,0,0
Tarragona,Tarragona,17.3 (13:00),5.3 (08:40),11.3,,,0,0,0,0,0
Llorac,Tarragona,10.3 (13:50),-4.3 (08:30),3,20 (14:00),16 (14:20),0,0,0,0,0
Horta de Sant Joan,Tarragona,14.3 (14:40),3.3 (08:50),8.8,,,0,0,0,0,0
La Pobla de Massaluca,Tarragona,7.0 (16:30),-1.0 (03:20),3,14 (16:40),9 (16:40),0,0,0,0,0
Cabacés,Tarragona,12.6 (15:50),-0.5 (04:20),6.1,21 (14:20),9 (13:20),0,0,0,0,0
Rasquera,Tarragona,10.2 (15:40),-0.3 (08:20),4.9,22 (15:30),13 (15:30),0,0,0,0,0
Tortosa,Tarragona,17.8 (15:20),4.1 (06:50),10.9,28 (05:10),14 (05:20),0,0,0,0,0
Sant Jaume d'Enveja,Tarragona,13.7 (14:30),4.8 (07:40),9.3,24 (13:00),13 (15:00),0,0,0,0,0
Albarracín,Teruel,,,,,,,0,0,0,
Teruel,Teruel,14.6 (16:10),-5.3 (08:20),4.7,13 (17:10),7 (17:10),0,0,0,0,0
Jabaloyas,Teruel,12.6 (13:10),4.5 (21:00),8.6,28 (23:00),20 (22:10),0,0,0,0,0
Cedrillas,Teruel,14.7 (14:10),-3.7 (06:50),5.5,20 (14:20),14 (14:30),0,0,0,0,0
Mosqueruela,Teruel,13.7 (13:10),1.4 (20:30),7.5,23 (15:00),14 (14:30),0,0,0,0,0
Santa Eulalia del Campo,Teruel,13.0 (15:40),-5.8 (08:30),3.6,21 (20:00),13 (19:20),0,0,0,0,0
Calamocha,Teruel,13.9 (16:30),-5.2 (06:30),4.3,10 (11:40),6 (07:40),0,0,0,0,0
Fonfría,Teruel,12.2 (14:50),1.7 (23:59),6.9,18 (21:00),13 (09:10),0,0,0,0,0
Muniesa,Teruel,13.1 (13:20),2.2 (21:50),7.7,20 (15:00),12 (12:50),0,0,0,0,0
Montalbán,Teruel,14.3 (15:30),-1.9 (07:20),6.2,15 (15:50),5 (15:50),0,0,0,0,0
Hijar,Teruel,3.7 (14:00),-3.1 (06:50),0.3,12 (14:10),8 (14:10),0,0,0,0,0
Andorra,Teruel,12.6 (13:50),3.5 (08:30),8.1,25 (08:00),23 (08:10),0,0,0,0,0
Castellote,Teruel,14.1 (14:10),2.6 (07:40),8.4,23 (14:40),11 (14:40),0,0,0,0,0
Calanda,Teruel,13.7 (12:00),4.8 (06:20),9.3,29 (00:10),23 (00:10),0,0,0,0,0
Alcañiz,Teruel,10.5 (14:00),-3.7 (06:50),3.4,14 (11:40),10 (11:30),0,0,0,0,0
Valderrobres,Teruel,13.2 (13:50),-3.0 (08:20),5.1,19 (14:00),11 (13:40),0,0,0,0,0
Bello,Teruel,12.2 (16:30),-5.6 (08:40),3.3,18 (19:30),14 (19:30),0,0,0,0,0
Ocaña,Toledo,14.1 (15:10),-2.3 (06:40),5.9,14 (16:00),9 (16:10),0,0,0,0,0
Tembleque,Toledo,16.0 (16:40),-6.6 (08:50),4.7,,,0,0,0,0,0
Mora,Toledo,16.5 (13:50),-0.6 (07:10),7.9,19 (14:50),9 (14:50),0,0,0,0,0
Toledo,Toledo,15.7 (16:00),-1.9 (08:50),6.9,17 (16:40),12 (16:40),0,0,0,0,0
San Pablo de los Montes,Toledo,16.0 (14:20),6.1 (22:40),11,14 (14:40),9 (07:50),0,0,0,0,0
Navahermosa,Toledo,,,,,,0,0,0,0,0
Castillo de Bayuela,Toledo,13.1 (15:20),1.5 (07:40),7.3,,,0,0,0,0,0
Talavera de la Reina,Toledo,14.1 (16:40),-1.8 (08:40),6.2,,,0,0,0,0,0
Quintanar de la Orden,Toledo,,,,,,,,,,
Madridejos,Toledo,16.3 (16:40),-3.3 (07:40),6.5,23 (13:40),14 (13:10),,,,,
Fontanars dels Alforins,València/Valencia,17.8 (15:50),-2.5 (07:00),7.6,,,0,0,0,0,0
Oliva,València/Valencia,15.7 (13:10),0.9 (07:30),8.3,9 (02:00),5 (20:20),0,0,0,0,0
Miramar,València/Valencia,17.4 (12:10),8.3 (07:10),12.8,,,0,0,0,0,0
Barx,València/Valencia,16.7 (14:20),4.2 (06:00),10.5,16 (02:00),8 (01:40),0,0,0,0,0
Jalance,València/Valencia,14.8 (15:30),-4.7 (08:10),5.1,6 (13:20),3 (12:10),0,0,0,0,0
Zarra,València/Valencia,14.6 (16:00),6.6 (09:10),10.6,,30 (23:59),0,0,0,0,0
Bicorp,València/Valencia,19.5 (14:40),2.1 (08:00),10.8,14 (16:00),9 (19:00),0,0,0,0,0
Ontinyent,València/Valencia,17.7 (12:10),3.3 (23:59),10.5,16 (10:40),9 (11:00),0,0,0,0,0
Xàtiva,València/Valencia,19.8 (15:00),1.2 (08:50),10.5,14 (08:10),9 (08:10),0,0,0,0,0
Carcaixent,València/Valencia,19.0 (14:40),3.2 (22:10),11.1,17 (04:50),12 (06:10),0,0,0,0,0
Utiel,València/Valencia,15.0 (15:50),-4.1 (09:50),5.5,19 (14:50),13 (14:40),0,0,0,0,0
Buñol,València/Valencia,15.3 (15:00),1.9 (08:30),8.6,27 (08:00),14 (09:50),0,0,0,0,0
Polinyà de Xúquer,València/Valencia,16.5 (14:40),3.7 (05:50),10.1,21 (10:30),12 (09:40),,,,,
Turís,València/Valencia,19.3 (15:20),1.9 (23:59),10.6,,,0,0,0,0,0
Ademuz,València/Valencia,16.3 (16:20),-6.0 (08:10),5.1,,,0,0,0,0,0
Chelva,València/Valencia,18.1 (15:10),2.5 (07:50),10.3,23 (15:40),13 (15:40),0,0,0,0,0
Lliria,València/Valencia,18.5 (14:10),4.5 (23:59),11.5,21 (10:20),14 (04:00),0,0,0,0,0
Valencia Aeropuerto,València/Valencia,17.7 (14:50),1.2 (08:10),9.5,21 (14:10),14 (07:40),0,0,0,0,0
"València, Viveros",València/Valencia,17.7 (13:40),5.9 (07:20),11.8,13 (00:40),8 (03:30),0,0,0,0,0
Sagunto,València/Valencia,17.3 (13:10),0.6 (07:20),8.9,,,,,,,
Peñafiel,Valladolid,11.3 (16:10),-4.4 (09:00),3.5,,,0,0,0,0,0
Sardón de Duero,Valladolid,13.7 (16:10),-6.6 (08:30),3.5,12 (14:40),7 (14:40),0,0,0,0,0
Valladolid,Valladolid,12.6 (15:50),-2.4 (09:00),5.1,13 (18:00),8 (18:00),0,0,0,0,0
"Olmedo, Depósito de Agua",Valladolid,10.8 (16:00),-3.7 (08:30),3.6,15 (22:50),13 (22:50),0,0,0,0,0
Rueda,Valladolid,,,,,,,,,,
Fuente el Sol,Valladolid,14.2 (16:00),-4.5 (08:50),4.8,8 (22:20),7 (22:20),0,0,0,0,0
Villalón de Campos,Valladolid,13.0 (15:50),-3.2 (09:10),4.9,11 (23:10),9 (17:30),0,0,0,0,0
Medina de Rioseco,Valladolid,12.8 (16:00),-4.9 (08:40),4,11 (14:40),7 (02:30),0,0,0,0,0
Morales del Toro,Zamora,12.8 (15:30),-3.9 (09:00),4.5,12 (16:00),10 (22:20),0,0,0,0,0
Fuentesauco,Zamora,9.7 (16:20),-1.7 (08:50),4,13 (13:50),10 (14:00),0,0,0,0,0
Villafáfila,Zamora,12.8 (16:00),-3.4 (09:00),4.7,12 (03:00),9 (05:30),0,0,0,0,0
Zamora,Zamora,13.0 (16:10),-2.3 (09:40),5.4,7 (00:40),4 (00:40),0,0,0,0,0
Benavente,Zamora,14.9 (16:10),-1.9 (09:00),6.5,16 (03:10),8 (02:30),0,0,0,0,0
"Sanabria, Robleda-Cervantes",Zamora,15.4 (14:40),-5.1 (08:50),5.1,22 (12:10),6 (15:00),0,0,0,0,0
Villardeciervos,Zamora,17.5 (15:30),-3.3 (08:30),7.1,18 (17:50),13 (17:40),0,0,0,0,0
Santibañez de Vidriales,Zamora,15.3 (16:10),-2.6 (08:50),6.4,9 (04:10),6 (04:10),0,0,0,0,0
Pozuelo de Tabara,Zamora,13.7 (16:20),-2.4 (08:40),5.6,12 (18:50),9 (18:50),0,0,0,0,0
Villadepera,Zamora,12.4 (17:20),1.2 (08:50),6.8,20 (14:10),13 (03:40),0,0,0,0,0
Peñausende,Zamora,,,,,5 (10:00),0,0,0,0,0
Fresno de Sayago,Zamora,13.9 (17:10),-2.3 (02:10),5.8,19 (14:30),14 (12:00),0,0,0,0,0
Alcañices,Zamora,14.6 (16:20),2.8 (05:30),8.7,16 (15:00),12 (07:10),0,0,0,0,0
Sos del Rey Católico,Zaragoza,12.3 (16:30),0.2 (08:50),6.3,16 (13:10),9 (13:30),0,0,0,0,0
Tarazona,Zaragoza,15.4 (15:30),1.5 (23:59),8.4,20 (16:00),13 (00:30),0,0,0,0,0
Ejea de los Caballeros,Zaragoza,10.1 (16:10),-4.1 (08:40),3,9 (01:20),5 (14:40),0,0,0,0,0
Castejon de Valdejasa,Zaragoza,11.8 (16:00),2.1 (08:00),7,27 (13:10),21 (13:10),0,0,0,0,0
Alhama de Aragon,Zaragoza,15.3 (16:20),-5.7 (08:30),4.8,,,0,0,0,0,0
Daroca,Zaragoza,14.7 (15:20),-5.0 (08:30),4.8,10 (16:10),6 (16:30),0,0,0,0,0
Calatayud,Zaragoza,11.9 (17:00),-4.3 (09:00),3.8,10 (20:30),8 (20:30),0,0,0,0,0
La Almunia de Doña Godina,Zaragoza,16.8 (16:40),-1.5 (08:30),7.6,12 (23:50),8 (03:00),0,0,0,0,0
Zaragoza Aeropuerto,Zaragoza,6.5 (15:50),-1.6 (05:30),2.4,15 (17:30),13 (17:50),0,0,0,0,0
"Zaragoza, Valdespartera",Zaragoza,6.3 (15:40),-2.1 (06:00),2.1,19 (00:30),9 (01:50),0,0,0,0,0
Leciñena,Zaragoza,9.4 (16:40),-6.2 (07:30),1.6,15 (12:10),6 (13:40),0,0,0,0,0
Valmadrid,Zaragoza,12.9 (14:50),2.3 (05:20),7.6,49 (23:50),26 (23:59),0,0,0,0,0
Quinto,Zaragoza,1.9 (16:40),-1.1 (08:30),0.4,13 (00:10),7 (00:10),0,0,0,0,0
Caspe,Zaragoza,2.5 (16:10),-0.3 (10:30),1.1,13 (06:10),9 (06:10),0,0,0,0,0
